label,mean_intensity
Limnius sp,175.9600493096647
Limnius sp,172.18026627218936
Limnius sp,194.42844181459566
Limnius sp,182.79843195266272
Limnius sp,184.28679980276135
Limnius sp,181.10471400394476
Limnius sp,198.14369822485207
Limnius sp,180.95226824457595
Limnius sp,181.02627712031557
Limnius sp,185.35120808678502
Limnius sp,187.57860946745564
Limnius sp,184.51902859960552
Limnius sp,178.64089250493097
Limnius sp,183.90634615384616
Leptophlebiidae sp,187.98435555555557
Leptophlebiidae sp,189.7765037037037
Leptophlebiidae sp,191.7867037037037
Leptophlebiidae sp,195.2218962962963
Leptophlebiidae sp,198.75793703703704
Leptophlebiidae sp,192.74895925925927
Leptophlebiidae sp,192.4731888888889
Leptophlebiidae sp,193.44731851851853
Leptophlebiidae sp,199.4434777777778
Leuctra sp,204.49021696252464
Leuctra sp,205.19626725838265
Leuctra sp,203.28000986193294
Leuctra sp,203.5117455621302
Leuctra sp,204.17070512820513
Leuctra sp,200.34421597633136
Leuctra sp,195.93680966469427
Leuctra sp,204.33361932938857
Leuctra sp,203.79152859960553
Leuctra sp,192.71403846153845
Leuctra sp,191.52389053254439
Leuctra sp,197.59608481262327
Leuctra sp,201.23274654832346
Leuctra sp,204.98796351084812
Leuctra sp,202.42269723865877
Leuctra sp,202.24715483234715
Leuctra sp,206.51062623274163
Leuctra sp,206.32594674556213
Leuctra sp,202.91820512820513
